FIPS,County,# Chlamydia Cases,Chlamydia Rate,# Uninsured Adults,% Uninsured Adults,# Non-Hispanic Black,% Non-Hispanic Black,# Non-Hispanic White,% Non-Hispanic White,# Hispanic,% Hispanic,% Female,Income Ratio,% Unemployed,% Some College,# Uninsured,% Uninsured,% Rural
29197,Schuyler,10,249.9,338,16,13,0.3,3891,96.0,63,1.6,49.3,3.8,3.9,39,431,14,100.0
29199,Scotland,8,172.3,577,24,8,0.2,4510,96.4,63,1.3,50.6,3.2,2.4,38,856,23,100.0
29201,Scott,200,528.5,3294,15,4599,12.1,31174,82.3,1019,2.7,51.2,4.5,3.0,53,3840,13,46.0
29203,Shannon,12,166.8,617,16,46,0.6,6674,92.2,203,2.8,49.3,4.2,4.6,53,698,13,100.0
29205,Shelby,10,167.2,480,15,80,1.3,5587,94.2,138,2.3,49.4,4.6,2.7,56,585,13,100.0
29207,Stoddard,65,229.1,2628,16,389,1.4,26734,94.1,664,2.3,50.3,4.6,3.9,48,3108,14,66.4
29209,Stone,43,133.8,2627,16,181,0.6,30411,93.1,1034,3.2,50.2,4.1,4.6,56,2957,14,82.9
29211,Sullivan,15,256.8,468,14,153,2.6,4466,77.0,1038,17.9,48.9,4.2,3.3,39,546,12,100.0
29213,Taney,171,300.9,5072,17,920,1.6,49078,86.4,4305,7.6,51.5,4.3,4.9,60,5867,14,37.2
29215,Texas,52,205.2,2216,17,1011,3.9,23115,90.2,665,2.6,46.9,4.8,3.8,52,2562,14,99.4
29217,Vernon,69,351.1,1551,15,189,1.0,18260,92.6,560,2.8,50.8,4.0,3.5,56,1849,12,56.7
29219,Warren,95,255.0,2697,12,875,2.3,34275,90.7,1587,4.2,49.7,3.7,2.9,58,3280,11,73.6
29221,Washington,44,187.7,2124,16,648,2.8,22040,93.7,275,1.2,48.1,4.5,3.8,40,2500,14,100.0
29223,Wayne,14,129.7,991,17,109,1.0,10163,94.0,174,1.6,49.5,4.9,4.5,46,1144,14,100.0
29225,Webster,104,257.8,3316,15,488,1.2,38661,93.2,1040,2.5,49.1,3.8,2.7,55,4267,13,80.7
29227,Worth,,,155,15,21,1.1,1818,95.3,41,2.1,49.9,4.5,2.5,44,179,13,100.0
29229,Wright,43,224.5,1915,19,166,0.9,18086,93.2,564,2.9,50.0,4.1,3.5,46,2276,15,77.6
29510,St. Louis City,3864,1348.3,19973,11,120461,42.8,128697,45.7,14844,5.3,51.7,6.0,3.7,75,22067,10,0.0
